;3 min;15 min;30 min;47 min;57 min;70 min;76 min;88 min;Final;Blanco
Long.de onda (nm); Abs; Abs;Abs;Abs;Abs;Abs;Abs;Abs; Abs;Abs
657.0155029;1.372902155;1.092695832;0.6334382892;0.491866827;0.4616644382;0.4329122305;0.4152713716;0.3872313201;0.2090388089;1.567371368
655.9940186;1.384256005;1.093055606;0.6312491894;0.4934581518;0.4612137675;0.4344472289;0.4170479476;0.3893248439;0.2111777961;1.553644657
655.0088501;1.379151464;1.094585061;0.6321476102;0.4941345155;0.4634216428;0.4363249838;0.4163594544;0.3882572651;0.214673087;1.570532203
653.9868164;1.370411873;1.089425802;0.6342902184;0.4948477745;0.4619535208;0.4355009198;0.4167380035;0.3891286254;0.2165898681;1.568880916
653.0009766;1.37763989;1.089810133;0.6378521323;0.496124953;0.4661785364;0.4352127016;0.4181929231;0.3901436925;0.2188047022;1.577321887
652.0148926;1.374738574;1.094316363;0.6371566653;0.4981285632;0.4643827081;0.4383004904;0.4197820127;0.3905326128;0.2213717401;1.563562989
650.9920044;1.376363158;1.091408253;0.6365613341;0.4991638958;0.4670700133;0.4388599098;0.4210369587;0.391905576;0.225348562;1.581258416
650.0053101;1.373702407;1.10119307;0.6389193535;0.5010392666;0.4666000307;0.4392512739;0.421867162;0.3928640783;0.2287360877;1.561664343
648.9817505;1.3809973;1.100799084;0.6398485303;0.5005356669;0.4684950411;0.4405143559;0.4218215644;0.3934403062;0.2325996459;1.574865103
647.9945068;1.39027667;1.095692396;0.6391355395;0.5002077818;0.470042944;0.4412609339;0.4234298468;0.3941915035;0.2352897525;1.57635498
647.006958;1.387201309;1.104425907;0.6417238116;0.5010908842;0.4693510234;0.442815125;0.4238672853;0.3962321281;0.2388103902;1.556863308
645.9825439;1.390027285;1.099816322;0.641772747;0.5035352707;0.4707932472;0.4430665374;0.4249599278;0.3958552778;0.2423750609;1.585900784
644.9943848;1.382949114;1.094632506;0.6435949206;0.5027201772;0.4722903967;0.4428924322;0.4262123406;0.3962835073;0.2463775128;1.569298029
644.0059814;1.370260835;1.105497599;0.6444438696;0.5032883883;0.47309497;0.4435124397;0.4264037311;0.3971237242;0.2509294748;1.577831149
643.0172729;1.393566966;1.101022482;0.642950654;0.5053498149;0.4732865393;0.4458387494;0.4272904992;0.3992022872;0.2542521954;1.562652946
641.9916992;1.388943195;1.100891948;0.6437216997;0.505490303;0.472656548;0.4443027675;0.4280659556;0.3994392455;0.2595553696;1.566541076
