muestra1; ; 3min; ; 
Long.de onda (nm); Abs; Long.de onda (nm); Abs; 
415.9871521; 0.4304822087; 415.9871521; 1.366574049; 
414.9846802; 0.4400902092; 414.9846802; 1.364343047; 
413.9821777; 0.4492744207; 413.9821777; 1.364088058; 
413.0179749; 0.4582064748; 413.0179749; 1.360948086; 
412.0150146; 0.4675725996; 412.0150146; 1.363770843; 
411.0119019; 0.4786791801; 411.0119019; 1.363682508; 
410.008667; 0.4868330657; 410.008667; 1.359292865; 
409.005188; 0.4966536462; 409.005188; 1.357186675; 
408.0016174; 0.5043504238; 408.0016174; 1.356588483; 
406.9978638; 0.513853848; 406.9978638; 1.353332281; 
405.9939575; 0.5229328871; 405.9939575; 1.351865649; 
404.9898376; 0.5303675532; 404.9898376; 1.348849654; 
403.9855652; 0.5379828215; 403.9855652; 1.346315384; 
402.9811707; 0.5444409847; 402.9811707; 1.344075084; 
402.0152283; 0.5506855249; 402.0152283; 1.34324944; 
401.010437; 0.5568239093; 401.010437; 1.340197921; 
400.0055542; 0.5613696575; 400.0055542; 1.338010311; 
399.0004883; 0.5674843192; 399.0004883; 1.336823463; 
397.9952698; 0.5726879239; 397.9952698; 1.338099837; 
396.9898376; 0.5754098296; 396.9898376; 1.334876657; 
395.984314; 0.5786543489; 395.984314; 1.331256986; 
395.0172729; 0.5809960961; 395.0172729; 1.330486894; 
394.0113831; 0.5830652118; 394.0113831; 1.328215361; 
393.0053406; 0.5836088061; 393.0053406; 1.328473568; 
391.9991455; 0.58471632; 391.9991455; 1.326307178; 
390.9927673; 0.5833579302; 390.9927673; 1.322391152; 
389.9862671; 0.5830582976; 389.9862671; 1.324224591; 
389.0183411; 0.5820821524; 389.0183411; 1.324379325; 
388.0115051; 0.5799051523; 388.0115051; 1.3202492; 
387.0045166; 0.5775172114; 387.0045166; 1.319397569; 
385.9973755; 0.5746161342; 385.9973755; 1.322483778; 
384.9901123; 0.5712456703; 384.9901123; 1.317764163; 
383.982605; 0.5664616823; 383.982605; 1.315138221; 
383.0137634; 0.5624620318; 383.0137634; 1.317334414; 
382.006012; 0.5581268668; 382.006012; 1.319091797; 
380.9980774; 0.5533001423; 380.9980774; 1.316509247; 
379.9899902; 0.5488263369; 379.9899902; 1.31373179; 
378.981781; 0.5428680182; 378.981781; 1.319378972; 
378.0121765; 0.5364825726; 378.0121765; 1.315967083; 
377.0036316; 0.531193018; 377.0036316; 1.320278168; 
375.9949646; 0.5269419551; 375.9949646; 1.324366927; 
374.9861145; 0.5224558115; 374.9861145; 1.325175643; 
374.0159607; 0.5188221335; 374.0159607; 1.331051946; 
373.0068054; 0.5162574649; 373.0068054; 1.338350177; 
371.9975281; 0.5142630339; 371.9975281; 1.338492274; 
370.9880676; 0.5117375255; 370.9880676; 1.340940118; 
370.0173035; 0.5082345605; 370.0173035; 1.345891833; 
369.0075684; 0.5080742836; 369.0075684; 1.354658365; 
367.9976807; 0.506142199; 367.9976807; 1.366460562; 
366.9876404; 0.5025276542; 366.9876404; 1.371487617; 
